bat_SB,Year,bat_AB,bat_SF,bat_TB,bat_CS,bat_SH,bat_2B,bat_PA,bat_1B,bat_SO,bat_H,bat_HBP,bat_GIDP,bat_R,bat_BB,bat_FO,bat_G,bat_3B,bat_GO,bat_RBI,bat_HR,bat_IBB,bat_BB_percent,bat_K_percent,pit_BF,pit_BK,pit_SHO,pit_IP,pit_ER,pit_W,pit_NBB,pit_SO,pit_GR,pit_SV,pit_H,pit_HBP,pit_HLD,pit_BB,pit_R,pit_FO,pit_G,pit_GO,pit_BS,pit_WP,pit_L,pit_HR,pit_NP,pit_IBB,pit_CG,pit_GS,fld_G,fld_TC,fld_PO,fld_A,fld_E,fld_DP,fld_TP,fld_PB,fld_CS,fld_SB,fld_POS_main,Win,Lose,Tie,Name_Display,Team_Display,Year_Display,Real_OPS
2.0,2023,198.0,2.0,70.0,1.0,4.0,4.0,236.0,39.0,44.0,49.0,3.0,3.0,16.0,29.0,60.0,63.0,1.0,51.0,26.0,5.0,1.0,0.1228813559322034,0.1864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,467.0,431.0,33.0,3.0,42.0,0.0,0.0,0.0,0.0,0,57.0,58.0,5.0,許基宏,中信,2023,0.7026732845698362
4.0,2024,332.0,12.0,148.0,2.0,1.0,19.0,387.0,71.0,73.0,100.0,9.0,5.0,53.0,33.0,97.0,102.0,1.0,75.0,62.0,9.0,3.0,0.08527131782945736,0.18863049095607234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,405.0,330.0,66.0,9.0,37.0,0.0,0.0,0.0,0.0,0,70.0,50.0,0.0,許基宏,中信,2024,0.8136587801985142
0.0,2023,68.0,0.0,23.0,0.0,0.0,1.0,71.0,14.0,13.0,17.0,1.0,3.0,9.0,2.0,24.0,21.0,1.0,14.0,6.0,1.0,0.0,0.028169014084507043,0.18309859154929578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,65.0,55.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0,62.0,55.0,3.0,郭阜林,統一,2023,0.6199254349627175
0.0,2024,27.0,0.0,9.0,0.0,0.0,2.0,29.0,1.0,12.0,4.0,0.0,0.0,3.0,2.0,7.0,9.0,0.0,4.0,2.0,1.0,0.0,0.06896551724137931,0.41379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,34.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0,66.0,53.0,1.0,郭阜林,統一,2024,0.5402298850574713
1.0,2023,363.0,1.0,163.0,0.0,0.0,22.0,409.0,64.0,88.0,100.0,9.0,16.0,54.0,36.0,95.0,104.0,1.0,81.0,62.0,13.0,0.0,0.08801955990220049,0.21515892420537897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,447.0,412.0,30.0,5.0,33.0,0.0,0.0,0.0,0.0,0,60.0,56.0,4.0,朱育賢,樂天,2023,0.8035590400560394
1.0,2024,404.0,3.0,171.0,0.0,2.0,16.0,442.0,91.0,84.0,119.0,9.0,10.0,50.0,24.0,116.0,111.0,0.0,90.0,59.0,12.0,1.0,0.05429864253393665,0.19004524886877827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,413.0,383.0,24.0,6.0,21.0,0.0,0.0,0.0,0.0,0,62.0,57.0,1.0,朱育賢,樂天,2024,0.7687218721872187
1.0,2023,138.0,0.0,34.0,0.0,5.0,7.0,156.0,20.0,28.0,27.0,1.0,2.0,12.0,12.0,45.0,59.0,0.0,43.0,9.0,0.0,0.0,0.07692307692307693,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,194.0,87.0,105.0,2.0,26.0,0.0,0.0,0.0,0.0,0,62.0,55.0,3.0,林祖傑,統一,2023,0.5112774738458585
0.0,2024,90.0,2.0,36.0,1.0,5.0,6.0,103.0,20.0,19.0,27.0,1.0,2.0,16.0,5.0,24.0,58.0,0.0,27.0,12.0,1.0,0.0,0.04854368932038835,0.18446601941747573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,156.0,74.0,78.0,4.0,14.0,0.0,0.0,0.0,0.0,0,66.0,53.0,1.0,林祖傑,統一,2024,0.736734693877551
17.0,2023,368.0,2.0,156.0,3.0,10.0,24.0,417.0,87.0,48.0,117.0,8.0,10.0,47.0,29.0,101.0,104.0,3.0,114.0,41.0,3.0,0.0,0.06954436450839328,0.11510791366906475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,275.0,94.0,166.0,15.0,18.0,1.0,0.0,0.0,0.0,2,48.0,67.0,5.0,李宗賢,富邦,2023,0.8022914218566393
11.0,2024,385.0,4.0,132.0,8.0,7.0,22.0,423.0,78.0,54.0,103.0,2.0,6.0,49.0,25.0,121.0,100.0,2.0,118.0,29.0,1.0,0.0,0.0591016548463357,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,430.0,182.0,236.0,12.0,57.0,0.0,0.0,0.0,0.0,1,53.0,66.0,1.0,李宗賢,富邦,2024,0.6553571428571429
